date,category,title,link
"<pubDate>Sun, 15 Mar 2020 09:32:18 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>이소희-신승찬·서승재-채유정, 전영오픈 배드민턴 동메달</title>",<link>http://www.hani.co.kr/arti/sports/sports_general/932567.html</link>
"<pubDate>Fri, 13 Mar 2020 18:07:53 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>한겨레 그림판 몰아보기</title>,<link>http://pictorial.hani.co.kr/slide.hani?gid=4539&amp;amp;no=1&amp;amp;cnt=150</link>
"<pubDate>Sun, 15 Mar 2020 09:20:56 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>“반바지를 입지 말라고? 도대체, 왜? 갑자기, 왜!”</title>",<link>http://www.hani.co.kr/arti/society/society_general/932558.html</link>
"<pubDate>Sun, 15 Mar 2020 09:20:43 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>“도망가도 괜찮아 네가 없어도 엄마, 아빠는 잘 살아”</title>",<link>http://www.hani.co.kr/arti/society/society_general/932555.html</link>
"<pubDate>Sun, 15 Mar 2020 09:20:26 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>저 게임은 분명히 실 거야. 아니, 매울 거야</title>",<link>http://www.hani.co.kr/arti/society/society_general/932556.html</link>
"<pubDate>Sat, 14 Mar 2020 10:20:53 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>마스터스 골프대회·보스턴 마라톤 연기</title>,<link>http://www.hani.co.kr/arti/sports/golf/932540.html</link>
"<pubDate>Sun, 15 Mar 2020 09:20:08 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>죽음의 해시태그 놀이가 만든 디스토피아</title>,<link>http://www.hani.co.kr/arti/society/society_general/932538.html</link>
"<pubDate>Fri, 13 Mar 2020 19:45:25 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>유승준 한국 돌아올까…비자 발급 소송 최종 승소</title>,<link>http://www.hani.co.kr/arti/society/society_general/932507.html</link>
"<pubDate>Fri, 13 Mar 2020 21:45:29 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>‘그알’ 코로나와 신천지는 우연일까?</title>,<link>http://www.hani.co.kr/arti/culture/culture_general/932494.html</link>
"<pubDate>Sun, 15 Mar 2020 09:19:48 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>마음의 허기를 달래줄, ‘믿음’이라는 보양식</title>",<link>http://www.hani.co.kr/arti/society/society_general/932512.html</link>
"<pubDate>Fri, 13 Mar 2020 18:15:23 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>이토록 놀라운 미러링이 있을 수 있는가, ‘하이에나’</title>",<link>http://www.hani.co.kr/arti/culture/culture_general/932482.html</link>
"<pubDate>Fri, 13 Mar 2020 15:07:37 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>메이저리그 개막 연기… 김광현 데뷔도 미뤄진다</title>,<link>http://www.hani.co.kr/arti/sports/baseball/932467.html</link>
"<pubDate>Fri, 13 Mar 2020 16:17:50 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>가장 맛있는 피자 찾아 삼만리</title>,<link>http://www.hani.co.kr/arti/specialsection/esc_section/932473.html</link>
"<pubDate>Fri, 13 Mar 2020 12:43:58 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>BTS 뷔의 음색과 박서준의 연기가 만났다</title>,<link>http://www.hani.co.kr/arti/culture/culture_general/932453.html</link>
"<pubDate>Fri, 13 Mar 2020 11:39:22 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>프리미어리그 현역 선수도 코로나19 확진</title>,<link>http://www.hani.co.kr/arti/sports/soccer/932440.html</link>
"<pubDate>Fri, 13 Mar 2020 16:18:03 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>석가모니 암살설</title>,<link>http://www.hani.co.kr/arti/specialsection/esc_section/932474.html</link>
"<pubDate>Fri, 13 Mar 2020 09:57:22 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>SNS 휩쓴 ‘10㎏ 5천원’ 강원도 감자</title>,<link>http://www.hani.co.kr/arti/area/gangwon/932290.html</link>
"<pubDate>Fri, 13 Mar 2020 11:32:30 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>&amp;amp;lt;미스터 트롯&amp;amp;gt; 최종 우승자 발표 지연 ‘방송 사고’</title>,<link>http://www.hani.co.kr/arti/culture/culture_general/932438.html</link>
"<pubDate>Fri, 13 Mar 2020 10:54:24 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>중년 지식인 남성의 페미니즘 입문기</title>,<link>http://www.hani.co.kr/arti/culture/book/932416.html</link>
"<pubDate>Fri, 13 Mar 2020 10:54:33 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>문학이라는 몹쓸 질병에 걸린 사람들</title>,<link>http://www.hani.co.kr/arti/culture/book/932421.html</link>
